Psalm	Sources	Type	Title	First Line	Meter	Tune
1A	French, K. Jason|Watts, Isaac	Music	Bless'd Is the Man	Bless'd is the man who shuns the place where sinners love to meet!	8.6.8.6 CMD	N/A
1B	Scheer, Greg	Music	Blessed Are They	Blessed are they who walk in the way of the LORD	IRREGULAR	N/A
1C	Steele, Anne	Text	Happy the Man	Happy the man	10.10.10.10	N/A
2A	Elvey, George J.|Regier, David P.	Music	Why Do the Nations Rage?	Why do the nations rage?	6.6.8.6 SMD	DIADEMATA
2B	Mason, Benjamin|Mason, Lauren|Pennington, Sheila|Pennington, Tom	Music	The Nations Roar, the People Rage	The nations roar, the people rage	8.8.8.8 LMD REFRAIN	N/A
3A	Killingsworth, Jody|Mentzel, Jake	Music	You Are My Shield	See how my foes increase	6.8.6.8 REFRAIN	N/A
3B	Sibelius, Jean|Totten, Dan	Music	Lifter of My Head	O LORD, my foes have risen up against me	10.10.10.10.10.10	FINLANDIA
4A	Kocher, Conrad|Regier, David P.	Music	Hear My Prayer and Answer Me	Hear my prayer and answer me	7.7.7.7.7.7	DIX
4B	Eiderkin, Dale R.|Watts, Isaac|Wilson, Hugh	Music	LORD, Will You Answer When I Pray	LORD, will You answer when I pray	8.6.8.6 CM	MARTYRDOM
5A	Kreider, Dan|Regier, David P.	Music	Give Ear unto My Words, O LORD	Give ear unto my words, O LORD	8.8.8.8 LM	O WALY WALY
5B	Psalter Hymnal, The (1912)|Scheffler, Johann|Wilbur, Gregory D.	Music	Hear My Words	Hear my word, O gracious LORD	7.7.7.7	N/A
6A	Christian Lyre, The (Joshua Leavitt)|Regier, David P.	Music	LORD, Rebuke Me Not in Anger	LORD, rebuke me not in anger	8.7.8.7 D	PLEADING SAVIOR
6B	Carlill, Adam|Scheer, Greg	Music	LORD, My God, Do Not Contend	LORD, my God, do not contend	IRREGULAR	N/A
7A	Watts, Isaac	Text	My Trust Is In my Heav'nly Friend	My trust is in my heavn'ly Friend	8.6.8.6 CM	N/A
7B	Hintze, Jakob|Lyte, Henry Francis	Music	LORD, My God, In Thee I Trust	LORD my God, in Thee I trust	7.7.7.7 D	SALZBURG
7C	Regier, David P.	Music	Yahweh, My God in You	Yahweh, my God, in You	12.12.12.12	N/A
8A	Regier, David P.|Repository of Sacred Music II (John Wyeth)	Music	Yahweh, Our God How Majestic	Yahweh, our God, how majestic is Your name in all the earth!	8.7.8.7 D	NETTLETON
8B	Barnard, Shane	Music	How Majestic Is Your Name	When I look at Your heavens	IRREGULAR	N/A
8C	Geistreiches Gesangbuch (Halle, ed. Johann A. Freylinghausen)|Psalter Hymnal, The (1912)	Music	LORD, Our Lord, Your Glorious Name	LORD, our Lord, Your glorious name	7.7.7.7	GOTT SEI DANK DURCH ALLE WELT
9A	Scottish Metrical Psalter (1650)	Text	LORD, Thee I'll Praise	LORD, thee I'll praise with all my heart	8.6.8.6 CM	N/A
9B	Kimbrough, Wendell|Wheeler, Dan	Music	The Hope of the Poor	The LORD is a home for all the oppressed	IRREGULAR	N/A
9C	Bourgeois, Louis|Kethe, William	Music	O LORD Most High	O LORD, Most High, with all my heart	8.8.8.8 LM	OLD HUNDREDTH
10A	Lyte, Henry Francis	Text	O LORD, Why Hide Thou Thy Face	O LORD, why hide Thou Thy face	8.6.8.6 CM	N/A
10B	Barthélémon, Francois H.|Watts, Isaac	Music	Why Does the LORD Stand Off So Far?	Why does the LORD stand off so far?	8.6.8.6 CM	BARTHÉLÉMON
10C	Dudley-Smith, Timothy|Roberts, J.H.	Music	In My Hour of Grief or Need	In my hour of grief or need	7.7.7.7	ABERAFON
11A	Psalter Hymnal, The (1912)|Selection of Hymns, A (John Rippon 1787)	Music	In God Will I Trust	In God will I trust	11.11.11.11	FOUNDATION
11B	Preston, David G.	Music	I've Found My Refuge In the LORD	I've found my refuge in the LORD	8.6.8.6 CMD	STAR OF THE COUNTY DOWN
12A	Knapp, William|Watts, Isaac	Music	LORD, If Thou Do Not Soon Appear	LORD, if Thou do not soon appear	8.8.8.8 LM	WAREHAM
12B	Watts, Isaac	Music	Help, LORD, For Men of Virtue Fail	Help, LORD, for men of virtue fail	8.6.8.6 CM	N/A
12C	Psalter Hymnal, The (1912)	Text	O LORD, be Thou My Helper	O LORD, be Thou my helper true	8.8.6.8.8.6 CPM	N/A
13A	Idle, Christopher|Wilson, Hugh	Music	How Long Will You Forget Me	How long will You forget me, LORD	8.6.8.6 CM	MARTYRDOM
13B	Born, Brittany|Carpenter, Matthew|Clow, Lisa|Zimmer, David	Music	How Long, O LORD, How Long?	O LORD, our God, to You we come	IRREGULAR	N/A
14A	Beall, Mary Kay|Wilcockson, Stephen	Music	The Fool Whose Heart Declares In Pride	The fool whose heart declares in pride	8.6.8.6 CMD	GRATUS
15A	Spurgeon, Charles H.	Text	LORD, I Would Dwell with Thee	LORD, I would dwell with Thee	6.6.8.6 SM	N/A
15B	Regier, David P.	Music	Who May Abide	Who may abide in Your dwelling, O LORD ?	10.10.10.10	SLANE
15C	Killingsworth, Jody|Mentzel, Jake	Music	Your Holy Hill	O LORD, who may abide in Your tent?	IRREGULAR	N/A
15D	Heilman, Shane	Music	Yahweh, Who May Abide with You?	Yahweh, who may abide with You	IRREGULAR	N/A
16A	Dever, Constance|Psalter Hymnal, The (1912)	Music	To You, O LORD, I Fly	To You, O LORD, I fly	6.6.8.6 SMD	N/A
16B	Watts, Isaac	Text	I Set the LORD Before My Face	I set the LORD before my face	8.6.8.6 CM	N/A
16C	Allen, George N.|Psalter Hymnal, The (1912)	Music	When In the Night I Meditate	When in the night I meditate on mercies multiplied	8.6.8.6 CM	MAITLAND
16D	Anderson, Fred R.|Anderson, Fred R.|Wilson, Hugh	Music	Preserve Us, LORD, for You are God	Preserve us, LORD, for You are God	8.6.8.6 CM	MARTYRDOM
17A	Otte, Helen|Ward, James	Music	LORD, Listen to My Righteous Plea	LORD, listen to my righteous plea	8.8.4.8.8.4	ROSALIE MCMILLAN
17B	Choralbuch (J.B. König)|Sing Psalms (2003)	Music	LORD, Hear My Righteous Plea	LORD, hear my righteous plea	6.6.8.6 SM	FRANCONIA
17C	Watts, Isaac	Text	LORD, I Am Thine	LORD, I am thine; but thou wilt prove	8.8.8.8 LM	N/A
17D	Psalter Hymnal, The (1912)	Text	LORD, Hear the Right	LORD hear the right, regard my cry	8.6.8.6.8.8	N/A
18A	English Metrical Psalter (A New Metrical Psalter, 1875)	Text	Thee Will I Love	Thee will I love, O LORD! My light	8.8.8.8.8.8	N/A
18B	Carlill, Adam	Music	I Love You God, My LORD	I love You, God my LORD	6.6.8.4 D	LEONI
18C	Edison, Lewis|Lyte, Henry Francis	Music	Whom Should We Love Like Thee	Whom should we love like Thee, our God	6.6.6.6.8.8.8	LENOX
19A	Dudley-Smith, Timothy|Haas, David	Music	The Stars Declare His Glory	The stars declare His glory	7.6.8.6.8.6	DEERFIELD
19B	Hatton, John|Watts, Isaac	Music	The Heav'ns Declare Your Glory, LORD	The heav'ns declare Your glory, LORD	8.8.8.8 LM	DUKE STREET
19C	Lee, David	Music	May the Words of My Mouth	May the words of my mouth	IRREGULAR	N/A
19D	New Version of the Psalms of David, A (Nahum Tate, Nicholas Brady, rev. 1698)	Text	God's Perfect Law	God's perfect law converts the soul	8.6.8.6 CMD	N/A
20A	George, Nathan Clark	Music	May the LORD Respond in Trouble	May the LORD respond in trouble	IRREGULAR	N/A
20B	Regier, David P.	Music	May the LORD Hear Your Cry	May the LORD hear your cry in the day of woe	IRREGULAR	PARKVIEW LANE
20C	English Metrical Psalter (A New Metrical Psalter, 1875)	Text	The LORD Hear Thee	The LORD hear thee in trouble's day	8.9.8.9	N/A
21A	Paris, Twila|Spurgeon, Charles H.|Watts, Isaac	Music	David Rejoiced in God His Strength	David rejoiced in God His strength	8.8.8.8 LMD	LAMB OF GOD
21B	Genuine Church Music (Joseph Funk)|Moyer, J. Harold|Psalter Hymnal, The (1912)	Music	Now the King In Your Strength	Now the King in Your strength shall be joyful	12.9.12.9	NEW CONCORD
21C	Hughes, John|Idle, Christopher	Music	LORD, To You We Lift Our Voices	LORD, to You we lift our voices	8.7.8.7.8.7.7	CWM RHONDDA
22A	Lyte, Henry Francis	Text	O What a Conquest Jesus Won	O what a conquest Jesus won	8.6.8.6 CM	N/A
22B	Regier, David P.	Music	Why Have You Forsaken Me?	My God, O why have You forsaken me?	11.11.11.11	LAMA SABACHTHANI
22C	Watts, Isaac	Text	Now Let Our Mournful Songs	Now let our mournful songs record	8.8.8.8 LM	N/A
22D	Psalter Hymnal, The (1912)|Wilbur, Gregory D.	Music	All Earth to Him	All earth to Him shall homage bring	8.8.8.8 LM REFRAIN	HOMAGE BRING
22E	Psalter Hymnal, The (1912)	Text	All Ye That Fear Jehovah's Name	All ye that fear Jehovah's Name	8.8.8.8 LM	N/A
23A	Watts, Isaac	Music	My Shepherd Will Supply My Need	My Shepherd will supply my need	8.7.8.7	ST. COLUMBA
23B	Barnard, Shane	Music	Surely Goodness, Surely Mercy	The LORD is my shepherd; I shall not want	IRREGULAR	N/A
23C	Willerton, Marc	Music	Jesus the Shepherd of My Soul	Jesus, the shepherd of my soul	IRREGULAR	N/A
23D	Althoff, Jon|Irvine, Jessie S.|Scottish Metrical Psalter (1650)|Whittingham, William	Music	The LORD's My Shepherd	The LORD's My Shepherd	8.6.8.6 CM	CRIMOND
24A	Kraus, Joseph Martin|Regier, David P.|Sacred Melodies (William Gardiner)	Music	The Earth Is the LORD's	The earth is the LORD's and all it contains	10.10.11.11	LYON
24B	George, Nathan Clark	Music	The Earth Is the LORD's and All It Contains	The earth is the LORD's and all it contains	IRREGULAR	N/A
25A	Leckebusch, Martin|Redhead, Richard	Music	LORD, I Gladly Trust in You	LORD, I gladly trust in You	7.7.7.7.7.7	REDHEAD
25B	Killingsworth, Jody|Mentzel, Jake	Music	Lead Me, LORD	To You, O LORD, I lift my soul	8.6.8.6 CMD REFRAIN	N/A
25C	Rienstra, Debra|Scheer, Greg	Music	Foothold	To You, O LORD, I lift my soul	IRREGULAR	N/A
25D	Lyte, Henry Francis	Text	Thy Goodness and Thy Truth	Thy goodness and Thy truth	6.6.8.6 SM	N/A
26A	Pendergrass, Gary|Shipp, Sarah	Music	Be Merciful O God	Establish Your just decrees	IRREGULAR	N/A
26B	Regier, David P.|Vaughan Williams, Ralph	Music	Judge Me, O LORD	Judge me, O LORD, for have walked in my integrity	8.6.8.6 CMD	KINGSFOLD
27A	Sing Psalms (2003)	Music	One Thing I'll Plead before the LORD	One thing I'll plead before the LORD	8.6.8.6 CM	ARGYLE
27B	Steele, Anne	Text	The LORD, my Savior	The LORD my Savior is my light	8.8.8.8 LM	N/A
27C	Scottish Metrical Psalter (1650)	Text	All People on the Earth Rejoice	All people on the earth rejoice	8.6.8.6 CM	N/A
27D	Searles, Matt	Music	My Savior Christ is With Me	The LORD's my light, I shall not fear	8.7.8.7 D	N/A
27E	Psalter Hymnal, The (1912)	Text	O LORD, to Thee I Cry	O LORD, to Thee I Cry	6.6.8.6 SM	N/A
28A	Bradbury, William B.	Music	The LORD be Blessed	The LORD be blessed, He heard my voice	8.6.8.6 CM	BROWN
28B	Sing Psalms (2003)	Music	To You I Call, O LORD, My Rock	To You I call, O LORD, my rock	8.8.8.8 LM	YE BANKS AND BRAES
28C	Merrick, James	Text	LORD, My Strength	LORD, my strength, to Thee I pray	7.7.7.7	N/A
29A	Nederlandtsch Gedenckclank|Webb, Philip	Music	Ascribe now to Yahweh	Ascribe now to Yahweh, O sons of the mighty	12.11.12.11	KREMSER
29B	Morrow, Michael	Music	The Voice of the LORD	The voice of the LORD	IRREGULAR	N/A
